#Steps	Time [ms]	X [m/s²]	Y [m/s²]	Z [m/s²]
356	1742	0.104608	-0.319237	0.089901
357	1747	0.044499	-0.15795	0.053699
358	1752	-0.041531	0.109795	-0.072896
359	1757	-0.069927	-0.186313	-0.067765
360	1762	-0.214976	-0.247359	0.039831
361	1767	-0.094729	0.097105	0.087304
362	1772	0.032071	0.108539	-0.206307
363	1777	0.127254	-0.054083	-0.040815
364	1782	0.202895	-0.139622	0.235882
365	1786	0.254324	-0.115092	0.201339
366	1791	-0.035352	-0.293286	0.057323
367	1796	-0.016108	0.049022	-0.081209
368	1801	-0.056548	0.067847	0.005003
369	1806	-0.123007	0.374989	-0.233377
370	1811	0.206537	0.160986	0.101481
371	1816	0.129235	-0.06387	0.232072
372	1821	-0.012038	0.034174	-0.057494
373	1826	-0.026279	-0.163831	-0.092961
374	1831	-0.162012	-0.046222	-0.068663
375	1835	-0.025343	-0.053143	0.019869
376	1840	-0.022833	0.149724	-0.013599
377	1845	0.024952	-0.05839	0.00792
378	1850	0.232198	-0.089086	-0.063624
379	1855	-0.009697	0.082974	0.115459
380	1860	-0.114526	0.158835	-0.264102
381	1865	0.133934	0.084154	0.142418
382	1870	0.22861	0.09327	0.079736
383	1875	0.001035	-0.121715	0.169915
384	1880	-0.153902	0.102945	-0.17893
385	1885	0.266371	-0.081101	0.262918
386	1890	0.257895	-0.164122	0.130515
387	1894	0.03494	-0.201442	-0.25627
388	1899	0.120575	-0.178988	0.178813
389	1904	-0.204189	0.250943	0.075429
390	1909	-0.277064	-0.057785	-0.065576
391	1914	0.081849	-0.033662	-0.136757
392	1919	0.021852	-0.052563	-0.014515
393	1924	0.129004	-0.228685	-0.033512
394	1929	0.030636	-0.044013	0.102518
395	1934	0.018566	-0.060479	0.082939
396	1939	0.070912	0.049466	0.003869
397	1943	0.092011	0.089741	-0.055739
398	1948	0.086786	-0.175281	0.082784
399	1953	-0.118632	-0.095752	-0.024888
400	1958	-0.084672	0.064423	-0.103421
401	1963	0.037311	-0.028856	0.054409
402	1968	0.122934	-0.004877	0.068439
403	1973	0.103254	-0.052524	0.001359
404	1978	0.179014	0.045464	0.091928
405	1983	-0.000644	0.104826	0.012812
406	1988	-0.050695	0.063784	-0.027773
407	1992	-0.01469	0.006261	0.024804
408	1997	0.068808	0.070586	-0.068278
409	2002	0.047014	0.117906	0.039323
410	2007	0.094451	0.129238	0.217895
411	2012	-0.068101	-0.057323	-0.286121
412	2017	0.02043	-0.006983	-0.034425
413	2022	-0.044028	0.002586	0.168349
414	2027	0.175478	-0.140441	-0.058927
415	2032	-0.049449	-0.146893	-0.05625
416	2037	-0.01345	0.11603	-0.127477
417	2042	-0.037219	0.12737	0.197322
418	2046	-0.094239	-0.125921	-0.123057
419	2051	0.034942	0.008185	-0.029487
420	2056	0.087207	-0.063362	0.163729
421	2061	0.153513	-0.046362	0.112861
422	2066	0.152749	-0.096186	0.088463
423	2071	-0.0816	0.1641	-0.10743
424	2076	0.014148	0.089394	-0.142649
425	2081	0.018845	-0.032613	0.127403
426	2086	0.052121	-0.149245	0.067181
427	2091	0.118602	-0.01979	0.004874
428	2096	-0.106043	0.0685	-0.030903
429	2100	-0.003023	-0.167813	-0.059352
430	2105	0.011294	0.035624	0.091107
431	2110	0.097046	-0.090882	0.02153
432	2115	0.025056	0.023981	0.097697
433	2120	0.036849	-0.019042	-0.067254
434	2125	0.132008	0.035875	0.145217
435	2130	0.050311	-0.031044	0.039618
436	2135	-0.035748	-0.021355	-0.063072
437	2140	-0.054639	0.10508	-0.024622
438	2145	-0.042449	0.137927	0.023172
439	2149	-0.020786	-0.005773	-0.048449
440	2154	0.038907	-0.13684	-0.105413
441	2159	0.062549	0.042608	0.019056
442	2164	-0.047406	0.097218	0.057099
443	2169	-0.061472	-0.117786	-0.090966
444	2174	0.112834	0.102087	-0.047608
445	2179	0.007396	0.063442	0.131395
446	2184	0.035962	0.141784	0.054467
447	2189	-0.023806	-0.061524	-0.031612
448	2194	0.047819	-0.025464	-0.024304
449	2199	0.011828	0.105758	0.125981
450	2203	0.076125	-0.135507	0.010943
451	2208	-0.014829	0.053468	-0.046316
452	2213	0.006697	-0.046908	0.030187
453	2218	0.020965	0.027216	0.142065
454	2223	-0.012509	-0.1207	-0.132751
455	2228	0.006622	-0.074812	-0.000996
456	2233	0.063794	-0.024385	0.211146
457	2238	0.182655	-0.031414	-0.145055
458	2243	-0.080446	-0.169504	-0.099046
459	2248	0.051051	-0.011346	-0.186745
460	2253	0.029344	0.134108	0.190787
461	2257	0.088788	-0.00719	0.058743
462	2262	0.040675	-0.047675	-0.094098
463	2267	0.095294	0.021686	0.037467
464	2272	-0.021974	0.102619	0.106404
465	2277	-0.043317	-0.12433	-0.025222
466	2282	0.033172	0.016919	-0.079918
467	2287	0.035391	0.190835	0.111166
468	2292	0.006612	0.03257	0.003352
469	2297	-0.050626	-0.036715	-0.056253
470	2302	0.042584	0.070728	-0.129864
471	2306	0.056674	0.191938	0.087687
472	2311	0.111214	-0.087894	0.106319
473	2316	0.017702	-0.044553	-0.07536
474	2321	0.022381	0.184491	0.032275
475	2326	0.036571	0.059628	0.144142
476	2331	0.081676	-0.186176	-0.149754
477	2336	0.057434	0.08171	-0.003611
478	2341	0.002327	0.036015	0.108434
479	2346	0.035685	-0.171534	0.026854
480	2351	-0.131342	-0.025283	-0.125828
481	2356	0.026627	-0.089513	-0.149037
482	2360	0.038412	-0.017561	0.214005
483	2365	0.124029	-0.210542	-0.046867
484	2370	0.087659	0.009793	-0.065703
485	2375	-0.012887	0.028813	0.084787
486	2380	-0.008056	0.047738	0.124887
487	2385	-0.027084	-0.040691	-0.071187
488	2390	0.070777	0.083456	-0.013627
489	2395	-0.015384	-0.036137	0.12707
490	2400	0.041898	-0.026423	0.009644
491	2405	-0.022666	-0.026292	-0.145336
492	2409	-0.010636	0.114469	-0.013516
493	2414	-0.001049	0.049544	0.129564
494	2419	0.110984	-0.05558	0.038344
495	2424	0.007939	0.144916	-0.052422
496	2429	0.022201	0.110825	0.102771
497	2434	0.057844	-0.049425	-0.026453
498	2439	0.088542	0.105753	-0.01202
499	2444	-0.06683	-0.016335	0.040479
500	2449	0.019311	0.043335	0.009291
501	2454	-0.052292	0.071722	0.009244
502	2459	0.005174	-0.081182	-0.081378
503	2463	0.138627	0.055085	0.176452
504	2468	-0.009843	-0.131107	0.068314
505	2473	-0.069383	-0.008893	0.039371
506	2478	0.019154	0.12463	-0.049016
507	2483	-0.097736	-0.08336	0.058488
508	2488	0.014777	-0.118698	-0.149173
509	2493	0.110046	0.015372	0.082774
510	2498	0.007006	-0.027609	0.099048
511	2503	0.049875	-0.020321	0.038966
512	2508	0.113983	-0.065507	-0.032735
513	2513	-0.105872	-0.027045	-0.056406
514	2517	0.078189	0.11372	-0.032291
515	2522	-0.067597	0.046415	0.060829
516	2527	-0.024357	-0.025323	-0.156378
517	2532	0.056806	0.017707	0.030318
518	2537	0.030304	0.077208	0.018249
519	2542	0.013468	0.045837	-0.015212
520	2547	0.075374	0.074212	0.061137
521	2552	0.05593	0.016637	0.089436
522	2557	-0.127882	0.054692	-0.030188
523	2562	0.022918	0.056803	-0.075325
524	2566	0.118147	-0.074575	0.084747
525	2571	0.010299	0.030672	-0.027702
526	2576	-0.023122	-0.005234	0.072545
527	2581	-0.030158	-0.017125	-0.023157
528	2586	0.051033	0.025864	0.119972
529	2591	0.086533	0.061489	-0.157118
530	2596	0.019362	-0.069913	0.003363
531	2601	-0.01172	-0.017127	0.115373
532	2606	0.119434	-0.03611	0.03614
533	2611	-0.081379	-0.033547	-0.05223
534	2616	-0.069057	-0.045298	-0.118711
535	2620	0.031396	0.045503	0.065414
536	2625	0.140884	0.011907	0.086541
537	2630	-0.062419	-0.035824	0.019371
538	2635	-0.019205	-0.138139	-0.018862
539	2640	-0.033411	0.160494	0.140931
540	2645	-0.030861	-0.052442	-0.126729
541	2650	0.052717	-0.00451	-0.016455
542	2655	0.031003	-0.049775	0.12664
543	2660	-0.004905	0.005295	0.023518
544	2665	0.004654	0.079159	-0.062407
545	2669	0.045151	0.026327	-0.007276
546	2674	0.030625	0.0691	0.121473
547	2679	-0.0315	0.040153	-0.060282
548	2684	-0.100466	0.030419	-0.18631
549	2689	0.012061	0.063638	0.088726
550	2694	0.081124	0.084773	0.135956
551	2699	0.07357	-0.113484	-0.114994
552	2704	0.0303	0.087299	-0.021463
553	2709	0.00393	0.065413	0.043
554	2714	-0.017542	-0.042173	0.078539
555	2719	-0.098495	0.108202	-0.086317
556	2724	-0.000279	-0.004364	-0.031065
557	2728	0.066462	-0.00911	0.090651
558	2733	0.080432	-0.054352	0.02346
559	2738	0.022827	-0.075534	0.009043
560	2743	-0.020191	-0.046555	0.059052
561	2748	0.006129	0.065704	-0.062803
562	2753	-0.043957	0.003404	-0.052956
563	2758	0.025385	-0.013297	0.011662
564	2763	0.03956	-0.06567	0.011603
565	2768	0.017912	-0.134466	-0.01944
566	2773	-0.015547	0.08549	-0.100384
567	2777	-0.003552	-0.041264	-0.009309
568	2782	0.056054	-0.05536	0.081313
569	2787	0.017639	0.076012	0.064223
570	2792	0.008017	-0.019709	-0.048124
571	2797	0.022278	0.054279	0.114198
572	2802	0.086523	0.001571	-0.103275
573	2807	0.036038	0.030166	0.035485
574	2812	0.023941	-0.120149	0.104431
575	2817	-0.09774	0.023463	0.006186
576	2822	-0.071034	0.185428	-0.132092
577	2827	-0.042078	0.039109	-0.067079
578	2831	0.077309	-0.175607	0.085803
579	2836	0.041171	-0.069856	0.156882
580	2841	0.060035	0.23082	-0.046501
581	2846	0.054969	-0.061123	0.003784
582	2851	0.016559	0.001154	0.096725
583	2856	-0.01451	0.096491	-0.101592
584	2861	0.035617	0.100778	0.030008
585	2866	-0.000314	0.007317	0.008408
586	2871	-0.07897	-0.076144	-0.039306
587	2876	0.009615	-0.066231	-0.036727
588	2880	-0.030953	-0.011079	-0.003175
589	2885	-0.016498	-0.10875	-0.022228
590	2890	-0.05932	-0.000949	-0.005432
591	2895	0.06492	-0.017629	0.027965
592	2900	0.014543	-0.108116	0.032593
593	2905	0.078826	0.047353	0.027663
594	2910	0.076051	-0.079211	-0.02253
595	2915	-0.064958	0.164306	0.008569
596	2920	-0.100388	-0.093936	0.070498
597	2925	0.016906	-0.017195	0.072531
598	2930	0.023972	-0.029027	-0.047009
599	2934	0.042922	0.016405	-0.113515
600	2939	0.035557	-0.055184	0.032448
601	2944	0.004394	0.073803	0.032287
602	2949	-0.081436	0.04245	-0.029847
603	2954	0.047682	-0.045953	-0.070219
604	2959	0.054595	0.07107	0.075527
605	2964	0.078159	0.023045	0.044165
606	2969	0.046784	0.041999	-0.039479
607	2974	-0.005887	0.039406	0.027457
608	2979	-0.029693	-0.03468	0.074991
609	2983	-0.074833	0.115657	-0.001656
610	2988	-0.043475	0.055493	-0.120825
611	2993	0.073536	-0.087797	0.039475
612	2998	0.037417	-0.001552	0.167992
613	3003	-0.029509	0.010373	0.000307
614	3008	0.001624	-0.065952	-0.104572
615	3013	-0.019836	0.04402	0.043728
616	3018	0.032701	-0.053925	-0.068517
617	3023	-0.043736	0.029768	-0.027655
618	3028	-0.036368	-0.018052	0.034454
619	3033	-0.0052	-0.120455	0.143928
620	3037	-0.057613	-0.076952	-0.009336
621	3042	0.002263	-0.036048	-0.157071
622	3047	-0.01205	-0.076389	0.077298
623	3052	0.107188	-0.033105	0.10075
624	3057	-0.055427	0.086237	0.012057
625	3062	-0.00748	-0.052438	-0.071428
626	3067	-0.000292	-0.011657	0.107694
627	3072	0.08075	-0.078338	0.002281
628	3077	-0.031679	0.041229	-0.045402
629	3082	-0.064891	-0.028099	0.043015
630	3087	-0.074103	-0.063713	0.073788
631	3091	-0.03798	0.182111	-0.093428
632	3096	0.0504	0.028657	-0.235976
633	3101	0.081136	-0.033458	0.07506
634	3106	0.099801	0.0549	0.155727
635	3111	-0.077079	0.064161	0.040543
636	3116	-0.074312	0.025705	-0.064535
637	3121	-0.064408	0.05418	0.033511
638	3126	0.038405	0.01339	-0.059613
639	3131	0.009611	0.046693	0.000272
640	3136	-0.014272	0.001173	0.095613
641	3140	-0.054722	0.075058	0.164261
642	3145	-0.044915	0.09852	-0.096366
643	3150	0.022048	-0.095039	-0.064899
644	3155	-0.004281	-0.099333	0.164246
645	3160	0.045795	-0.0464	0.082387
646	3165	-0.071227	-0.04617	-0.027667
647	3170	-0.001749	-0.074543	-0.149092
648	3175	0.055465	-0.062254	-0.005336
649	3180	0.052805	-0.059561	-0.041063
650	3185	0.054926	-0.095018	0.002045
651	3190	-0.054991	0.050852	0.013951
652	3194	-0.057101	-0.001839	0.044869
653	3199	-0.016296	-0.013748	-0.091218
654	3204	0.102963	0.005389	-0.083612
655	3209	0.157272	-0.120966	0.109873
656	3214	0.073065	0.091772	0.099792
657	3219	-0.041709	0.165206	0.042089
658	3224	-0.110625	0.090494	-0.120202
659	3229	0.044857	0.059057	-0.081468
660	3234	0.104223	-0.067565	0.085787
661	3239	-0.020241	0.044798	0.075825
662	3243	0.08712	-0.081753	-0.000826
